nw,seed,tax,costp,conper,num_new_worker
46,1311,0.05,3,1,46
9,5654,0.05,3,1,9
11,8201,0.05,3,1,11
18,1171,0.05,3,1,18
50,3412,0.05,3,1,50
28,9291,0.05,3,1,28
34,694,0.05,3,1,34
21,3812,0.05,3,1,21
31,4135,0.05,3,1,31
41,4162,0.05,3,1,41
23,5990,0.05,3,1,23
58,5086,0.05,3,1,58
27,8137,0.05,3,1,27
53,738,0.05,3,1,53
21,4363,0.05,3,1,21
24,4125,0.05,3,1,24
21,3179,0.05,3,1,21
34,5255,0.05,3,1,34
5,3553,0.05,3,1,5
10,3355,0.05,3,1,10
36,32,0.05,3,1,36
47,6239,0.05,3,1,47
23,446,0.05,3,1,23
33,9718,0.05,3,1,33
11,66,0.05,3,1,11
59,8004,0.05,3,1,59
31,1835,0.05,3,1,31
57,8645,0.05,3,1,57
23,4570,0.05,3,1,23
9,8933,0.05,3,1,9
42,818,0.05,3,1,42
34,1100,0.05,3,1,34
8,4878,0.05,3,1,8
39,7357,0.05,3,1,39
42,409,0.05,3,1,42
12,9000,0.05,3,1,12
38,7350,0.05,3,1,38
10,2851,0.05,3,1,10
14,919,0.05,3,1,14
57,9329,0.05,3,1,57
28,2291,0.05,3,1,28
46,5739,0.05,3,1,46
21,2665,0.05,3,1,21
18,2254,0.05,3,1,18
47,844,0.05,3,1,47
6,2649,0.05,3,1,6
33,577,0.05,3,1,33
48,3556,0.05,3,1,48
44,8950,0.05,3,1,44
16,902,0.05,3,1,16
50,2260,0.05,3,1,50
32,6696,0.05,3,1,32
12,2407,0.05,3,1,12
16,9576,0.05,3,1,16
34,6075,0.05,3,1,34
51,4814,0.05,3,1,51
44,2111,0.05,3,1,44
6,29,0.05,3,1,6
55,809,0.05,3,1,55
42,7987,0.05,3,1,42
45,3537,0.05,3,1,45
8,3712,0.05,3,1,8
34,3474,0.05,3,1,34
38,6055,0.05,3,1,38
49,9516,0.05,3,1,49
36,84,0.05,3,1,36
51,6834,0.05,3,1,51
5,2320,0.05,3,1,5
11,383,0.05,3,1,11
34,2432,0.05,3,1,34
49,3181,0.05,3,1,49
46,8442,0.05,3,1,46
27,534,0.05,3,1,27
24,4414,0.05,3,1,24
59,5958,0.05,3,1,59
26,5836,0.05,3,1,26
23,5498,0.05,3,1,23
21,5140,0.05,3,1,21
15,5769,0.05,3,1,15
23,3884,0.05,3,1,23
25,8533,0.05,3,1,25
33,5600,0.05,3,1,33
36,2349,0.05,3,1,36
27,285,0.05,3,1,27
57,855,0.05,3,1,57
26,4248,0.05,3,1,26
53,9050,0.05,3,1,53
36,3830,0.05,3,1,36
47,4525,0.05,3,1,47
52,4562,0.05,3,1,52
27,1417,0.05,3,1,27
57,4946,0.05,3,1,57
